id;firmbr;firm;brand;city;year;quarter;share;price;sugar;mushy;z1;z2;z3;z4;z5;z6;z7;z8;z9;z10;z11;z12;z13;z14;z15;z16;z17;z18;z19;z20
100401880;1004;1;4;1;88;1;0.0124;0.072;2;1;-0.216;0.041;-3.248;-0.524;-0.232;0.007;3.14;-0.575;0.206;0.177;2.116;-0.155;-0.006;0.015;0.126;0.067;0.068;0.035;0.126;0.035
100601880;1006;1;6;1;88;1;0.0078;0.114;18;1;-0.245;0.055;-19.832;-0.181;0.015;0.001;0.288;0.033;0.105;-0.288;-7.374;-0.576;0.013;0.076;0.03;0.088;0.111;0.088;0.05;0.073
100701880;1007;1;7;1;88;1;0.013;0.132;4;1;-0.176;0.047;-2.879;-0.284;-0.216;-0.032;2.886;-0.75;-0.479;0.215;2.188;-0.207;0.004;0.092;0.164;0.112;0.108;0.086;0.122;0.102
100901880;1009;1;9;1;88;1;0.0058;0.13;3;0;-0.121;0.049;-2.06;-0.328;-0.222;-0.031;4.453;0.256;-0.473;0.356;2.705;0.041;-0.004;0.095;0.135;0.088;0.102;0.102;0.111;0.104
101101880;1011;1;11;1;88;1;0.0179;0.155;12;0;-0.133;0.04;-6.138;-0.139;-0.189;-0.044;-3.555;0.139;-0.689;0.26;1.261;0.035;-0.001;0.102;0.131;0.085;0.101;0.125;0.133;0.121
101301880;1013;1;13;1;88;1;0.0266;0.137;14;0;-0.153;0.043;-8.417;0.008;-0.139;-0.021;-2.759;0.05;-0.273;0.127;0.338;0.024;0;0.086;0.072;0.022;0.106;0.116;0.1;0.106
101701880;1017;1;17;1;88;1;0.025;0.144;3;1;-0.164;0.045;-2.389;-0.157;-0.215;-0.046;4.344;-0.859;-0.734;0.247;2.618;-0.196;0.004;0.094;0.138;0.11;0.101;0.106;0.144;0.121
103001880;1030;1;30;1;88;1;0.0051;0.128;4;0;-0.118;0.05;-2.314;-0.318;-0.224;-0.029;3.275;0.235;-0.429;0.367;2.591;0.044;-0.005;0.109;0.135;0.128;0.059;0.085;0.045;0.097
104501880;1045;1;45;1;88;1;0.0053;0.15;14;0;-0.144;0.042;-8.165;-0.022;-0.153;-0.029;-3.327;0.072;-0.416;0.159;0.49;0.026;0;0.114;0.116;0.142;0.095;0.122;0.131;0.119
200501880;2005;2;5;1;88;1;0.0381;0.109;1;0;-0.116;0.06;-2.51;-0.326;-0.228;-0.007;6.473;0.255;-0.018;0.379;2.728;0.035;-0.008;0.083;0.02;-0.021;0.064;0.083;-0.007;0.072
200801880;2008;2;8;1;88;1;0.0083;0.132;11;0;-0.133;0.043;-5.1;-0.1;-0.189;-0.027;-2.603;0.111;-0.39;0.273;1.654;0.031;-0.003;0.079;0.052;0.144;0.119;0.096;0.112;0.11
201501880;2015;2;15;1;88;1;0.0066;0.112;4;1;-0.19;0.046;-3.04;-0.437;-0.218;-0.016;2.365;-0.647;-0.187;0.185;1.977;-0.201;0.001;0.082;0.04;-0.008;0.113;0.081;0.164;0.069
201601880;2016;2;16;1;88;1;0.0301;0.115;3;1;-0.185;0.049;-2.833;-0.311;-0.221;-0.017;3.565;-0.722;-0.211;0.212;2.361;-0.195;0;0.076;0.143;0.097;0.077;0.074;0.118;0.091
201901880;2019;2;19;1;88;1;0.1;0.111;13;0;-0.168;0.04;-7.587;0.028;-0.13;-0.012;-2.079;0.033;-0.132;0.118;0.515;0.02;0;0.054;0.021;0.093;0.106;0.078;0.062;0.071
202601880;2026;2;26;1;88;1;0.0132;0.128;13;0;-0.151;0.042;-7.2;0;-0.15;-0.019;-2.617;0.056;-0.25;0.161;0.786;0.023;-0.001;0.083;0.079;0.079;0.119;0.083;0.056;0.087
202801880;2028;2;28;1;88;1;0.0236;0.175;16;1;-0.079;0.036;-11.571;-0.76;-0.133;-0.029;-2.513;-0.24;-0.383;-0.063;-3.226;-0.386;0.02;0.139;0.162;0.146;0.076;0.132;0.116;0.139
204001880;2040;2;40;1;88;1;0.0087;0.134;10;0;-0.127;0.044;-4.487;-0.157;-0.203;-0.03;-2.199;0.139;-0.449;0.312;1.902;0.036;-0.004;0.088;0.027;0.103;0.124;0.097;0.075;0.1
204801880;2048;2;48;1;88;1;0.0027;0.147;3;0;-0.128;0.037;-1.828;-0.335;-0.217;-0.052;4.649;0.281;-0.858;0.33;2.75;0.036;0.001;0.11;0.144;0.151;0.062;0.101;0.11;0.122
300601880;3006;3;6;1;88;1;0.0189;0.11;20;1;-0.347;0.056;-25.851;0.007;0.076;0.006;1.903;0.131;0.2;-0.376;-10.23;-0.654;0.014;0.067;0.065;0.007;0.064;0.065;0.109;0.072
301401880;3014;3;14;1;88;1;0.0108;0.137;7;0;-0.12;0.047;-3.381;-0.28;-0.219;-0.037;0.209;0.205;-0.576;0.358;2.27;0.046;-0.003;0.09;0.055;0.095;0.123;0.12;0.082;0.098
400201880;4002;4;2;1;88;1;0.0078;0.175;14;0;-0.135;0.034;-8.041;-0.115;-0.177;-0.055;-4.726;0.132;-0.883;0.215;0.569;0.033;0.002;0.124;0.131;0.09;0.164;0.145;0.121;0.149
401001880;4010;4;10;1;88;1;0.0007;0.136;6;0;-0.119;0.047;-2.996;-0.299;-0.221;-0.036;1.213;0.218;-0.564;0.361;2.379;0.046;-0.003;0.105;0.06;0.106;0.155;0.097;0.115;0.103
401201880;4012;4;12;1;88;1;0.0095;0.135;12;0;-0.139;0.042;-5.978;-0.061;-0.176;-0.027;-2.886;0.093;-0.378;0.23;1.306;0.028;-0.002;0.11;0.1;0.115;0.086;0.1;0.159;0.1
601801880;6018;6;18;1;88;1;0.0466;0.143;0;0;-0.132;0.033;-3.12;-0.34;-0.218;-0.049;8.477;0.324;-0.802;0.324;3.04;0.018;0;0.107;0.202;0.101;0.094;0.108;0.05;0.11
100403880;1004;1;4;3;88;1;0.0026;0.081;2;1;-0.438;0.04;-1.432;-0.601;-0.298;-0.019;1.02;-0.335;-0.287;0.188;-0.941;0.139;0.004;0.037;-0.042;0.088;0.042;0.048;0.088;0.041
100603880;1006;1;6;3;88;1;0.077;0.106;18;1;-0.381;0.035;-10.301;-0.345;-0.114;-0.012;-2.053;-0.116;-0.137;-0.036;-1.189;-0.126;0.013;0.063;0.073;0.02;0.073;0.071;0.017;0.067
100703880;1007;1;7;3;88;1;0.0264;0.12;4;1;-0.437;0.039;-0.786;-0.584;-0.296;-0.036;0.23;-0.335;-0.565;0.202;-0.764;0.175;0.008;0.077;0.157;0.093;0.062;0.08;0.103;0.088
