city;year;quarter;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80
1;88;1;0.434;-0.727;-0.623;-0.041;-0.467;0.802;1.508;-0.362;-0.105;-0.863;0.66;1.001;0.337;0.762;0.807;-0.883;0.39;0.859;1.615;-1.511;-1.501;0.133;-0.138;1.257;0.227;-0.715;0.037;0.911;-0.348;-1.386;1.811;0.174;1.83;-1.293;-0.086;0.24;-0.557;0.543;-0.214;-1.247;-1.151;-0.501;0.797;-0.683;1.044;1.886;0.446;0.759;-0.183;-0.131;0.457;-0.412;-1.587;0.779;0.932;-2.043;-1.701;-0.156;1.082;1.15;0.161;0.13;-0.796;0.259;0.092;-0.342;-1.201;2.09;-0.113;-0.94;-0.995;-1.39;-0.147;-0.522;-0.57;-1.753;1.027;2.021;0.19;-0.04
3;88;1;0.002;0.223;-1.029;0.383;0.387;2.157;0.47;1.371;-1.134;1.73;1.636;0.486;-0.305;0.107;-0.214;0.963;0.757;-0.03;-0.282;-0.845;0.028;-0.841;-0.906;-2.031;-0.778;0.166;-0.775;1.403;1.299;2.234;-0.139;-0.704;-0.639;-0.512;0.234;0.602;-0.979;0.425;-1.231;0.211;1.045;1.017;2.301;0.149;0.236;0.779;0.991;-0.582;0.417;-1.179;0.119;0.991;-0.499;0.987;1.64;-1.541;-2.401;-0.071;0.522;0.568;0.236;0.135;0.073;0.951;1.959;-1.246;0.521;-0.92;-0.307;-0.197;0.257;-2.496;0.783;1.468;-0.153;0.579;-2.148;-1.209;1.005;-1.161
4;88;1;-0.53;0.725;0.291;-1.392;-1.463;0.249;0.389;1.296;2.001;-1.013;-0.863;-0.65;0.699;1.387;-0.021;-2.031;0.37;-1.266;0.563;-0.272;-0.477;-0.935;1.43;2.619;0.457;-1.662;0.648;-2.18;1.045;-0.739;1.38;-0.533;1.008;0.541;1.559;1.109;-0.121;0.079;-0.262;0.792;-1.019;0.311;-0.953;0.806;-0.066;0.261;0.757;-0.042;1.038;-0.823;0.422;0.049;0.32;1.354;-0.732;-1.892;1.872;1.086;-0.962;-1.2;0.029;-0.17;0.364;0.488;-0.973;-0.987;-0.447;-1.784;0.604;0.59;0.465;-1.603;-0.969;-0.408;-1.543;0.107;-0.808;-0.481;0.114;-1.296
5;88;1;0.019;-1.425;-0.268;-2.265;-0.569;-1.13;0.719;0.003;-0.431;-0.524;-0.38;-0.174;-0.308;0.062;-0.946;-0.169;0.216;-0.656;0.23;1.126;0.54;0.17;0.713;-0.122;0.927;0.158;0.237;1.003;-0.418;0.364;0.226;-0.246;0.579;-0.198;0.976;-0.72;1.159;1.867;0.863;-0.644;-0.576;-0.507;-0.75;1.116;-0.986;-2.003;0.155;0.401;-0.156;-0.443;-1.185;-0.648;-0.716;-0.403;0.017;1.247;-1.335;0.72;0.305;-0.755;1.277;0.428;0.461;-1.011;-0.629;-0.825;0.476;1.532;2.03;0.292;-1.478;-1.275;-0.737;-0.821;0.864;0.288;0.387;-0.809;1.284;0.396
7;88;1;-1.321;-0.255;-0.034;-0.427;1.461;-1.399;0.021;-0.022;-0.941;0.733;-0.536;-1.147;-1.195;-0.485;-1.44;0.452;-1.75;-1.536;-2.638;-1.523;-0.658;1.869;-0.316;1.264;-0.022;-0.163;-0.969;-0.558;0.579;-1.431;-2.151;1.453;-1.241;0.099;1.13;-1.297;-0.518;0.838;-0.446;0.712;-0.266;-0.683;-0.542;-0.299;0.044;-0.916;0.424;0.688;-2.162;0.318;0.306;-0.186;1.26;0.664;-1.207;0.434;-0.901;-1.814;0.146;0;-0.558;0.698;-1.391;0.776;-1.402;-0.326;-1.666;-0.492;0.253;0.248;-0.969;-1.28;-1.13;-1.116;-1.823;-1.003;0.471;-0.018;-0.656;-1.19
8;88;1;1.751;-0.635;0.494;-0.719;-0.355;-2.198;-0.373;0.233;-0.692;0.3;-1.837;-1.738;-0.407;-0.273;-0.449;-0.607;0.562;-0.346;-0.5;2.071;-0.424;0.15;0.451;-1.548;0.603;0.774;0.246;-0.837;-0.342;1.621;1.412;-0.794;0.175;0.01;1.671;0.308;-0.547;0.025;0.758;2.345;0.115;0.608;0.001;0.595;-0.221;-0.393;-1.046;-0.234;0.69;-0.225;0.943;0.182;-0.965;0.509;-0.064;0.233;0.399;-0.84;-1.151;0.985;0.336;0.81;1.018;-1.242;-0.21;-0.026;-0.225;0.485;1.842;-1.203;-0.265;0.045;0.833;0.24;-1.061;0.502;0.867;-0.471;1.096;0.409
11;88;1;0.152;0.067;-0.333;1.363;-0.069;-0.074;0.825;1.569;-0.367;-0.302;-1.041;0.798;1.236;0.536;2.206;-1.164;0.301;-0.557;-0.424;0.684;0.058;-0.837;0.481;1.061;0.777;0.227;-0.137;0.199;3.122;0.862;-1.367;-0.301;-0.792;0.733;0.194;-0.741;0.186;-0.153;-0.314;-1.875;0.889;-0.43;-0.841;2.319;-0.139;0.834;-0.255;0.248;1.251;0.743;-1.269;0.144;-0.015;-0.926;-0.692;0.253;0.052;0.671;1.337;0.217;0.121;-0.324;-0.781;2.139;-0.249;-0.268;-0.907;0.407;-0.778;0.432;-1.84;-0.876;-0.629;-1.295;0.38;-0.234;-1.38;0.547;-0.123;0.049
12;88;1;0.055;-2.333;-0.673;-1.644;0.277;0.022;1.022;-0.789;0.201;0.099;1.198;-0.866;0.926;-0.15;-1.529;0.661;-0.773;-0.219;0.124;0.788;-0.154;0;-0.612;0.13;0.421;0.513;-0.738;-0.979;0.298;-0.85;0.193;-0.283;-1.97;0.028;-0.628;-0.371;-1.077;-0.445;-0.001;2.954;-0.624;0.283;0.855;-0.427;-0.888;-0.041;-0.601;-1.327;-0.431;-0.898;-0.177;-0.722;1.119;1.256;-0.729;0.283;-0.716;0.514;0.505;1.062;0.606;-2.109;-0.306;0.346;-1.494;-2.107;-1.66;1.074;1.378;0.755;0.681;-1.256;0.188;-0.327;0.621;-1.148;0.279;1.245;-1.772;0.409
13;88;1;0.496;0.702;1.781;0.653;1.853;-0.32;0.216;-1.311;-1.502;0.601;0.126;-0.904;-2.447;1.03;0.573;-0.129;0.056;0.416;-0.224;-0.154;0.893;-1.944;-0.636;-0.54;0.167;-0.525;-0.102;-0.203;0.173;0.333;0.023;-0.05;-1.114;-0.691;0.968;0.145;2.419;-0.724;0.783;0.588;3.007;0.455;0.628;-0.035;0.31;0.376;0.051;-0.86;-0.752;0.389;0.35;-1.122;-0.626;0.514;-1.85;-1.097;1.249;0.668;-1.575;-0.672;0.671;-0.564;0.276;-1.092;-0.874;1.642;-0.084;-0.438;0.199;1.304;-0.124;0.803;-0.189;-0.988;-0.574;-0.215;0.442;0.932;-0.369;0.589
14;88;1;0.779;-1.328;-0.518;-0.585;-0.907;0.38;0.279;-0.686;-0.237;0.184;-1.321;1.884;-0.767;-0.475;1.017;0.615;1.645;2.51;-0.415;0.416;1.033;-0.263;0.595;1.374;-0.508;0.916;-0.087;-1.478;-0.227;1.013;0.93;-0.456;-0.438;-0.752;-0.335;0.539;-0.494;-0.071;-0.893;-0.534;0.148;0.454;0.971;1.28;-0.71;-0.043;0.476;-1.376;-1.337;-0.453;-1.418;-0.117;1.388;0.446;-1.087;-0.927;1.764;-0.155;-1.584;1.05;-0.091;0.296;0.473;0.158;-0.881;0.879;-0.365;0.219;0.031;1.649;-0.079;0.838;-0.276;0.591;-1.181;1.086;0.015;0.607;-0.169;0.276
